subject,fuzzer,run,source,runtime_min,elapsed_min,l_abs,b_abs,nodes,edges,start_time,last_update,status,invalid_reason,exit_code,diagnostics_dir
proftpd,chatafl_opt,1,out-proftpd-chatafl_opt_1.tar.gz,1477,1477,11986,5489,29,283,1780082766,1780171418,completed,completed,1,
proftpd,chatafl_opt,2,out-proftpd-chatafl_opt_2.tar.gz,1477,1477,11664,5345,29,284,1780113407,1780202064,completed,,,
proftpd,chatafl_opt,3,out-proftpd-chatafl_opt_3.tar.gz,1477,1477,11496,5320,29,286,1780114717,1780203364,completed,,,
proftpd,chatafl_opt,4,out-proftpd-chatafl_opt_4.tar.gz,1477,1477,11757,5382,29,264,1780117617,1780206279,completed,,,
proftpd,chatafl_opt,5,out-proftpd-chatafl_opt_5.tar.gz,1477,1477,11543,5318,26,237,1780118580,1780207235,completed,,,
proftpd,chatafl_opt,6,out-proftpd-chatafl_opt_6.tar.gz,1468,1468,11472,5280,28,301,1780121427,1780209536,completed,,,
proftpd,chatafl_opt,7,out-proftpd-chatafl_opt_7.tar.gz,1478,1478,12235,5648,28,282,1780125043,1780213731,completed,,,
proftpd,chatafl_opt,8,out-proftpd-chatafl_opt_8.tar.gz,1477,1477,11364,5201,29,258,1780125674,1780214352,completed,,,
proftpd,chatafl_opt,9,out-proftpd-chatafl_opt_9.tar.gz,1477,1477,11419,5191,26,256,1780127543,1780216208,completed,,,
proftpd,chatafl_opt,10,out-proftpd-chatafl_opt_10.tar.gz,1477,1477,11885,5414,28,266,1780129326,1780217999,completed,,,
