time,subject,fuzzer,run,state_type,state
1773673858,lightftp,aflnet,1,nodes,12
1773673858,lightftp,aflnet,1,edges,14
1773673863,lightftp,aflnet,1,nodes,13
1773673863,lightftp,aflnet,1,edges,18
1773673868,lightftp,aflnet,1,nodes,13
1773673868,lightftp,aflnet,1,edges,22
1773673873,lightftp,aflnet,1,nodes,13
1773673873,lightftp,aflnet,1,edges,23
1773673878,lightftp,aflnet,1,nodes,13
1773673878,lightftp,aflnet,1,edges,23
1773673883,lightftp,aflnet,1,nodes,13
1773673883,lightftp,aflnet,1,edges,23
1773673888,lightftp,aflnet,1,nodes,13
1773673888,lightftp,aflnet,1,edges,23
1773673893,lightftp,aflnet,1,nodes,13
1773673893,lightftp,aflnet,1,edges,23
1773673899,lightftp,aflnet,1,nodes,13
1773673899,lightftp,aflnet,1,edges,23
1773673904,lightftp,aflnet,1,nodes,13
1773673904,lightftp,aflnet,1,edges,24
1773673909,lightftp,aflnet,1,nodes,13
1773673909,lightftp,aflnet,1,edges,24
1773673914,lightftp,aflnet,1,nodes,13
1773673914,lightftp,aflnet,1,edges,24
1773673919,lightftp,aflnet,1,nodes,13
1773673919,lightftp,aflnet,1,edges,24
1773673929,lightftp,aflnet,1,nodes,13
1773673929,lightftp,aflnet,1,edges,24
1773673934,lightftp,aflnet,1,nodes,13
1773673934,lightftp,aflnet,1,edges,25
1773673939,lightftp,aflnet,1,nodes,13
1773673939,lightftp,aflnet,1,edges,25
1773673944,lightftp,aflnet,1,nodes,13
1773673944,lightftp,aflnet,1,edges,27
1773673949,lightftp,aflnet,1,nodes,13
1773673949,lightftp,aflnet,1,edges,27
1773673954,lightftp,aflnet,1,nodes,13
1773673954,lightftp,aflnet,1,edges,28
1773673960,lightftp,aflnet,1,nodes,13
1773673960,lightftp,aflnet,1,edges,28
1773673965,lightftp,aflnet,1,nodes,13
1773673965,lightftp,aflnet,1,edges,28
1773673970,lightftp,aflnet,1,nodes,13
1773673970,lightftp,aflnet,1,edges,28
1773673975,lightftp,aflnet,1,nodes,13
1773673975,lightftp,aflnet,1,edges,30
1773673980,lightftp,aflnet,1,nodes,13
1773673980,lightftp,aflnet,1,edges,30
1773673985,lightftp,aflnet,1,nodes,13
1773673985,lightftp,aflnet,1,edges,30
1773673991,lightftp,aflnet,1,nodes,13
1773673991,lightftp,aflnet,1,edges,30
1773673996,lightftp,aflnet,1,nodes,13
1773673996,lightftp,aflnet,1,edges,31
1773674001,lightftp,aflnet,1,nodes,13
1773674001,lightftp,aflnet,1,edges,31
1773674006,lightftp,aflnet,1,nodes,13
1773674006,lightftp,aflnet,1,edges,31
1773674011,lightftp,aflnet,1,nodes,13
1773674011,lightftp,aflnet,1,edges,31
1773674021,lightftp,aflnet,1,nodes,13
1773674021,lightftp,aflnet,1,edges,32
1773674026,lightftp,aflnet,1,nodes,13
1773674026,lightftp,aflnet,1,edges,32
1773674036,lightftp,aflnet,1,nodes,13
1773674036,lightftp,aflnet,1,edges,32
1773674047,lightftp,aflnet,1,nodes,13
1773674047,lightftp,aflnet,1,edges,32
1773674057,lightftp,aflnet,1,nodes,13
1773674057,lightftp,aflnet,1,edges,32
1773674062,lightftp,aflnet,1,nodes,13
1773674062,lightftp,aflnet,1,edges,32
1773674067,lightftp,aflnet,1,nodes,13
1773674067,lightftp,aflnet,1,edges,34
1773674072,lightftp,aflnet,1,nodes,14
1773674072,lightftp,aflnet,1,edges,37
1773674078,lightftp,aflnet,1,nodes,14
1773674078,lightftp,aflnet,1,edges,39
1773674088,lightftp,aflnet,1,nodes,14
1773674088,lightftp,aflnet,1,edges,40
1773674098,lightftp,aflnet,1,nodes,14
1773674098,lightftp,aflnet,1,edges,43
1773674108,lightftp,aflnet,1,nodes,14
1773674108,lightftp,aflnet,1,edges,46
1773674114,lightftp,aflnet,1,nodes,15
1773674114,lightftp,aflnet,1,edges,48
1773674119,lightftp,aflnet,1,nodes,15
1773674119,lightftp,aflnet,1,edges,48
1773674124,lightftp,aflnet,1,nodes,15
1773674124,lightftp,aflnet,1,edges,52
1773674129,lightftp,aflnet,1,nodes,15
1773674129,lightftp,aflnet,1,edges,55
1773674134,lightftp,aflnet,1,nodes,15
1773674134,lightftp,aflnet,1,edges,55
1773674140,lightftp,aflnet,1,nodes,15
1773674140,lightftp,aflnet,1,edges,55
1773674145,lightftp,aflnet,1,nodes,15
1773674145,lightftp,aflnet,1,edges,56
1773674150,lightftp,aflnet,1,nodes,15
1773674150,lightftp,aflnet,1,edges,56
1773674155,lightftp,aflnet,1,nodes,15
1773674155,lightftp,aflnet,1,edges,57
1773674160,lightftp,aflnet,1,nodes,15
1773674160,lightftp,aflnet,1,edges,59
1773674165,lightftp,aflnet,1,nodes,15
1773674165,lightftp,aflnet,1,edges,59
1773674170,lightftp,aflnet,1,nodes,15
1773674170,lightftp,aflnet,1,edges,59
