time,subject,fuzzer,run,cov_type,cov
1773673843,lighttpd1,aflnet,1,l_per,11.1
1773673843,lighttpd1,aflnet,1,l_abs,3129
1773673843,lighttpd1,aflnet,1,b_per,6.6
1773673843,lighttpd1,aflnet,1,b_abs,1271
1773673854,lighttpd1,aflnet,1,l_per,11.9
1773673854,lighttpd1,aflnet,1,l_abs,3361
1773673854,lighttpd1,aflnet,1,b_per,7.2
1773673854,lighttpd1,aflnet,1,b_abs,1382
1773673855,lighttpd1,aflnet,1,l_per,12.0
1773673855,lighttpd1,aflnet,1,l_abs,3379
1773673855,lighttpd1,aflnet,1,b_per,7.3
1773673855,lighttpd1,aflnet,1,b_abs,1396
1773674277,lighttpd1,aflnet,1,l_per,12.5
1773674277,lighttpd1,aflnet,1,l_abs,3528
1773674277,lighttpd1,aflnet,1,b_per,8.2
1773674277,lighttpd1,aflnet,1,b_abs,1576
1773674638,lighttpd1,aflnet,1,l_per,13.0
1773674638,lighttpd1,aflnet,1,l_abs,3665
1773674638,lighttpd1,aflnet,1,b_per,8.6
1773674638,lighttpd1,aflnet,1,b_abs,1658
1773675106,lighttpd1,aflnet,1,l_per,13.0
1773675106,lighttpd1,aflnet,1,l_abs,3667
1773675106,lighttpd1,aflnet,1,b_per,8.7
1773675106,lighttpd1,aflnet,1,b_abs,1678
1773675872,lighttpd1,aflnet,1,l_per,13.2
1773675872,lighttpd1,aflnet,1,l_abs,3714
1773675872,lighttpd1,aflnet,1,b_per,8.9
1773675872,lighttpd1,aflnet,1,b_abs,1715
1773676529,lighttpd1,aflnet,1,l_per,13.3
1773676529,lighttpd1,aflnet,1,l_abs,3758
1773676529,lighttpd1,aflnet,1,b_per,9.1
1773676529,lighttpd1,aflnet,1,b_abs,1745
1773677425,lighttpd1,aflnet,1,l_per,13.3
1773677425,lighttpd1,aflnet,1,l_abs,3764
1773677425,lighttpd1,aflnet,1,b_per,9.1
1773677425,lighttpd1,aflnet,1,b_abs,1756
1773678457,lighttpd1,aflnet,1,l_per,13.5
1773678457,lighttpd1,aflnet,1,l_abs,3808
1773678457,lighttpd1,aflnet,1,b_per,9.3
1773678457,lighttpd1,aflnet,1,b_abs,1790
1773680336,lighttpd1,aflnet,1,l_per,13.5
1773680336,lighttpd1,aflnet,1,l_abs,3812
1773680336,lighttpd1,aflnet,1,b_per,9.4
1773680336,lighttpd1,aflnet,1,b_abs,1799
1773682884,lighttpd1,aflnet,1,l_per,13.5
1773682884,lighttpd1,aflnet,1,l_abs,3814
1773682884,lighttpd1,aflnet,1,b_per,9.4
1773682884,lighttpd1,aflnet,1,b_abs,1801
1773686077,lighttpd1,aflnet,1,l_per,13.5
1773686077,lighttpd1,aflnet,1,l_abs,3814
1773686077,lighttpd1,aflnet,1,b_per,9.4
1773686077,lighttpd1,aflnet,1,b_abs,1804
1773689753,lighttpd1,aflnet,1,l_per,13.5
1773689753,lighttpd1,aflnet,1,l_abs,3816
1773689753,lighttpd1,aflnet,1,b_per,9.4
1773689753,lighttpd1,aflnet,1,b_abs,1811
1773693400,lighttpd1,aflnet,1,l_per,13.5
1773693400,lighttpd1,aflnet,1,l_abs,3820
1773693400,lighttpd1,aflnet,1,b_per,9.4
1773693400,lighttpd1,aflnet,1,b_abs,1814
1773698270,lighttpd1,aflnet,1,l_per,13.5
1773698270,lighttpd1,aflnet,1,l_abs,3826
1773698270,lighttpd1,aflnet,1,b_per,9.5
1773698270,lighttpd1,aflnet,1,b_abs,1826
1773701340,lighttpd1,aflnet,1,l_per,13.8
1773701340,lighttpd1,aflnet,1,l_abs,3898
1773701340,lighttpd1,aflnet,1,b_per,9.8
1773701340,lighttpd1,aflnet,1,b_abs,1883
1773705421,lighttpd1,aflnet,1,l_per,13.9
1773705421,lighttpd1,aflnet,1,l_abs,3920
1773705421,lighttpd1,aflnet,1,b_per,9.9
1773705421,lighttpd1,aflnet,1,b_abs,1905
1773710632,lighttpd1,aflnet,1,l_per,13.9
1773710632,lighttpd1,aflnet,1,l_abs,3921
1773710632,lighttpd1,aflnet,1,b_per,9.9
1773710632,lighttpd1,aflnet,1,b_abs,1908
1773716603,lighttpd1,aflnet,1,l_per,13.9
1773716603,lighttpd1,aflnet,1,l_abs,3937
1773716603,lighttpd1,aflnet,1,b_per,10.0
1773716603,lighttpd1,aflnet,1,b_abs,1919
1773720539,lighttpd1,aflnet,1,l_per,14.0
1773720539,lighttpd1,aflnet,1,l_abs,3943
1773720539,lighttpd1,aflnet,1,b_per,10.1
1773720539,lighttpd1,aflnet,1,b_abs,1931
1773727056,lighttpd1,aflnet,1,l_per,14.0
1773727056,lighttpd1,aflnet,1,l_abs,3943
1773727056,lighttpd1,aflnet,1,b_per,10.1
1773727056,lighttpd1,aflnet,1,b_abs,1934
1773729695,lighttpd1,aflnet,1,l_per,14.0
1773729695,lighttpd1,aflnet,1,l_abs,3943
1773729695,lighttpd1,aflnet,1,b_per,10.1
1773729695,lighttpd1,aflnet,1,b_abs,1934
1773734504,lighttpd1,aflnet,1,l_per,14.0
1773734504,lighttpd1,aflnet,1,l_abs,3945
1773734504,lighttpd1,aflnet,1,b_per,10.1
1773734504,lighttpd1,aflnet,1,b_abs,1938
1773739676,lighttpd1,aflnet,1,l_per,14.0
1773739676,lighttpd1,aflnet,1,l_abs,3947
1773739676,lighttpd1,aflnet,1,b_per,10.1
1773739676,lighttpd1,aflnet,1,b_abs,1940
1773744874,lighttpd1,aflnet,1,l_per,14.0
1773744874,lighttpd1,aflnet,1,l_abs,3949
1773744874,lighttpd1,aflnet,1,b_per,10.1
1773744874,lighttpd1,aflnet,1,b_abs,1945
1773753259,lighttpd1,aflnet,1,l_per,14.1
1773753259,lighttpd1,aflnet,1,l_abs,3969
1773753259,lighttpd1,aflnet,1,b_per,10.2
1773753259,lighttpd1,aflnet,1,b_abs,1959
